qid,cell,computable_category,key_size,grades,decile,year,reached_by,hand_category,confidence,runner_up,evidence_doc,reason
1027,reachable/key1,C2,1,1,D10,2010,v4-bm25,H1,clear,H6,1130,"Judged 1106 is about albumin appearing on cooking salmon, not about preparing or grilling it. v5's rank 3, 1130 ""How can I barbecue salmon steak?"", is at least as relevant to the query as 1106 is."
29209,reachable/key1,C2,1,1,D8,2012,v1-overlap v2-jaccard v3-tfidf v4-bm25,H5,clear,,29270,"Judged 29270 is a follow-up by the same asker whose body quotes this query's title verbatim. Four lexical rungs found it on that quotation; v5 returned five topically adjacent cookie-dough questions and none of them is the follow-up. A genuine miss with a visible cause."
57097,reachable/key1,C2,1,1,D6,2015,v6-hybrid,H1,clear,,18680,"Judged 10315 is squarely relevant, and so are four of v5's five. Rank 4, 18680 ""Is it safe to use the same cooking utensils for raw and cooked meat?"", is at least as relevant; the key names one member of a family of near-identical questions."
91237,reachable/key1,C2,1,1,D3,2018,v3-tfidf v4-bm25 v6-hybrid,H5,clear,H3,85300,"Judged 85300 ""Jars didn't seal"" matches the query's condition exactly and three rungs found it. v5's rank 1 is ""Can I reprocess jars that have SEALED?"" — the same topic with the condition inverted. The miss looks like insensitivity to the negation."
127937,reachable/key1,C2,1,1,D1,2024,v4-bm25 v6-hybrid,H1,clear,,13590,"Judged 111010 is about reshaping refrigerated dough, a different question. v5's rank 1, 13590 ""Can I store extra pizza dough in fridge?"", is the query's actual question."
17,reachable/key2+,C2,2,"1,1",D10,2010,v3-tfidf v4-bm25 v6-hybrid,H1,clear,,8597,"Query asks time and temperature for chicken parts. Judged 42713 is about cooking legs evenly; judged 3501 about telling when thighs are done. v5's rank 3, 8597 ""How do I bake chicken breast?"", is at least as relevant. A canonical query with a large unjudged family."
16310,reachable/key2+,C2,2,"1,1",D9,2011,v3-tfidf v4-bm25 v6-hybrid,H1,clear,,15418,"The query is a closed duplicate whose own body names its target: ""Possible Duplicate: Resources for a beginner learning to cook."" The key points at two narrow sub-skills (cutting, seasoning). v5 returned that beginner-resources family, including 15418 and 18016."
42567,reachable/key2+,C2,3,"1,1,1",D7,2014,v1-overlap v2-jaccard,H5,clear,,37234,"Judged 37234 ""Safe to leave oven on at 180F while at work"" is the query restated, and v1 and v2 found it. v5 returned the unattended-appliance family (gas off, induction, slow cooker) and missed the oven-on case. Note one of the three judgments, 42542 ""Slow cooker lid gasket smell"", is not plausibly related at all."
84278,reachable/key2+,C2,2,"1,1",D4,2017,v3-tfidf v4-bm25 v6-hybrid,H2,borderline,H1,1804,"The query bundles three sub-questions and one of them is explicitly about dishwashers, which judged 1804 answers. v5 stayed at knives-in-general — sharpening, choosing a set, naming them. Borderline because against the OTHER judgment, 79264 ""Do magnets dull knives?"", v5's results are the more relevant ones and the case would read H1."
124961,reachable/key2+,C2,2,"1,1",D1,2023,v3-tfidf v6-hybrid,H1,clear,H2,104715,"Query asks why two sites disagree on fibre in potatoes. v5's rank 1, 104715 ""Do nutritional facts take into account the inedible parts of certain foods?"", explains exactly that, and rank 4 is an accurate-nutrition-database question. At least as relevant as judged 87412."
316,unreachable/key1,C3,1,1,D10,2010,,H1,clear,,19458,"Judged 916 is about installing a gas stove with a bottle. v5's rank 1 is 19458 ""Gas or electric oven with gas stove"" and rank 3 is ""Gas or electric for rack oven in a bakery?"" — both are the query. No rung reached the key and the key is the weaker document."
